Target,AccMeanX,AccMeanY,AccMeanZ,AccMedianX,AccMedianY,AccMedianZ,GyroMeanX,GyroMeanY,GyroMeanZ,GyroMedianX,GyroMedianY,GyroMedianZ
1,0.32631,-0.14394,-0.98183,0.31934,-0.16919,-0.99243,-1.18212,3.88386,1.54853,-1.05725,4.17557,1.12595
1,0.28744,-0.13283,-1.01278,0.26782,-0.13867,-1.00220,-0.85987,3.84242,2.03599,-0.73282,4.17557,1.33969
1,0.26578,-0.12535,-1.01833,0.23254,-0.11377,-1.00708,-0.91221,3.92203,2.05725,-0.73282,4.32443,1.33969
1,0.24859,-0.11569,-1.01181,0.20691,-0.10010,-0.99927,-0.95802,3.92639,1.98964,-0.73282,4.32443,1.12595
1,0.25668,-0.11333,-1.01287,0.20691,-0.10010,-0.99927,-1.64776,3.77099,1.97274,-1.05725,4.17557,1.01145
1,0.28059,-0.11747,-1.02117,0.22705,-0.10010,-0.99927,-1.44220,4.27808,1.85278,-0.73282,4.17557,0.88550
1,0.29766,-0.12476,-1.01426,0.26367,-0.10010,-0.99927,-1.29662,3.96020,1.61996,-0.67176,3.97710,0.86641
1,0.31817,-0.13471,-1.01918,0.27881,-0.11377,-0.99927,-1.38222,4.16358,1.65976,-0.73282,3.97710,0.86641
1,0.32132,-0.13072,-1.01446,0.27881,-0.11377,-0.99731,-1.06707,4.36696,1.62977,-0.55725,3.97710,0.81679
1,0.30596,-0.11649,-1.01404,0.26367,-0.10010,-0.99731,-1.61559,4.11232,1.84133,-1.27099,3.97710,0.88168
1,0.26883,-0.10944,-1.02440,0.22937,-0.09375,-1.02490,-1.78408,4.01908,1.91003,-1.27099,3.83969,0.88168
1,0.24510,-0.10946,-1.02830,0.20374,-0.09375,-1.02686,-2.01690,3.80044,1.97983,-1.27099,3.83969,1.03053
1,0.23757,-0.10543,-1.02550,0.19263,-0.08765,-1.00720,-1.83806,3.72192,1.80425,-0.71374,3.83969,1.03053
1,0.25195,-0.09884,-1.03364,0.19263,-0.08765,-1.00720,-0.91658,3.96674,1.93184,-0.55725,4.12595,1.17176
1,0.28071,-0.11768,-1.02070,0.20374,-0.09375,-1.00525,-0.68430,4.21538,1.69357,-0.45802,4.44656,1.17176
1,0.30240,-0.12343,-0.99175,0.24036,-0.10022,-0.99695,-0.82061,3.91549,1.21810,-0.45802,4.12595,1.03053
1,0.31982,-0.12953,-0.98453,0.31213,-0.12659,-0.97986,-0.29171,4.01636,1.33697,-0.37023,4.19847,1.17176
1,0.33459,-0.11836,-0.96308,0.37012,-0.12659,-0.97986,-1.09324,4.29716,1.42094,-0.38550,4.55344,1.40076
1,0.31428,-0.11346,-0.95750,0.31213,-0.10034,-0.94910,-0.16140,4.96892,1.42366,-0.15649,4.85115,1.40076
1,0.28135,-0.09446,-0.96537,0.24036,-0.09387,-0.98816,-0.42639,4.72028,1.49945,-0.38550,4.85115,1.66412
1,0.27604,-0.09609,-0.96047,0.20312,-0.10034,-0.98816,-0.48909,4.85333,1.58015,-0.38550,4.85115,1.66412
1,0.25459,-0.08726,-0.95520,0.19238,-0.09387,-0.98755,-0.37405,4.66521,1.50927,-0.27863,4.62214,1.40076
1,0.26910,-0.09333,-0.95982,0.19238,-0.10034,-0.99902,-0.81734,4.62377,1.51854,-0.38550,4.62214,1.40076
1,0.29595,-0.10638,-0.95572,0.27490,-0.10474,-0.99902,-0.43184,5.19956,1.39313,-0.37786,4.88550,1.24809
1,0.32961,-0.11881,-0.94577,0.37012,-0.10864,-0.99451,-0.08997,5.97056,1.21865,-0.27863,5.45038,1.17176
1,0.34372,-0.11773,-0.94542,0.37207,-0.10864,-0.99451,-0.00872,6.12377,1.09324,-0.21756,5.81298,1.04198
1,0.34570,-0.12074,-0.93987,0.37207,-0.11072,-0.98145,0.13195,5.79335,1.01091,-0.16794,5.81298,0.87405
1,0.32912,-0.10655,-0.93342,0.35156,-0.10864,-0.96082,-0.68539,6.10414,1.08997,-0.21756,5.89313,0.87405
1,0.29140,-0.07992,-0.93284,0.28577,-0.10352,-0.96082,-0.28462,5.94329,1.29826,-0.16794,5.89313,0.87405
1,0.27794,-0.07675,-0.94277,0.21362,-0.10315,-0.99451,-0.30807,6.15158,1.29935,-0.21756,5.89313,0.87405
1,0.26341,-0.07377,-0.95246,0.21362,-0.10315,-0.99963,-0.95038,5.79008,1.19520,-0.30153,5.32824,0.87405
1,0.25316,-0.08496,-0.97871,0.21362,-0.10315,-1.00061,-0.21538,5.57579,1.10960,-0.30153,4.69466,0.79771
1,0.27393,-0.09293,-0.98036,0.23193,-0.10754,-1.00061,-0.79280,4.73446,1.05725,-0.40076,4.59924,0.73282
1,0.30509,-0.11258,-0.97421,0.24451,-0.10864,-0.99707,-0.65049,5.16957,0.96892,-0.40076,4.69466,0.72137
1,0.32832,-0.12122,-0.97869,0.30029,-0.10999,-0.99707,-0.25682,5.04526,1.03817,-0.40076,4.69466,0.72137
1,0.35270,-0.13185,-1.00403,0.38135,-0.12048,-0.99707,-0.41658,5.50491,1.22628,-0.62595,5.36641,0.73664
1,0.32980,-0.12061,-0.99609,0.30029,-0.12048,-0.99707,-0.11396,5.36260,1.50055,-0.40076,4.64122,0.84351
1,0.29778,-0.10238,-1.01208,0.24451,-0.10962,-0.99707,-0.03162,5.33642,1.94602,-0.25954,4.64122,0.84351
1,0.27070,-0.09018,-1.01590,0.23193,-0.10315,-1.00061,-0.08015,4.70556,2.00382,-0.56870,4.64122,0.89695
1,0.27473,-0.09612,-1.02025,0.23193,-0.10962,-1.01282,-0.43293,4.76063,2.08506,-0.82443,4.64122,0.89695
1,0.29129,-0.09563,-1.02480,0.24451,-0.10620,-1.01282,-0.63413,4.91276,2.36150,-1.01527,4.64122,1.37786
1,0.31147,-0.09985,-1.02178,0.32849,-0.10620,-1.01282,-0.27972,4.47437,2.35932,-1.01527,4.54580,1.37786
1,0.34321,-0.12378,-1.02673,0.41846,-0.11804,-1.01282,-0.77099,4.36260,2.21865,-1.27481,4.54580,1.37786
1,0.35032,-0.12512,-1.02523,0.41846,-0.12744,-1.00232,-1.02345,4.28408,2.27972,-1.48855,4.30153,1.68321
1,0.34455,-0.12784,-1.02666,0.41846,-0.14648,-1.00232,-0.92803,4.38277,2.28571,-1.27481,4.30153,1.68321
1,0.33548,-0.12967,-1.03444,0.41846,-0.14648,-1.02808,-1.11996,4.12977,2.13195,-1.38931,3.74809,1.68321
1,0.30591,-0.12336,-1.04956,0.33533,-0.12537,-1.05420,-1.06325,4.21865,2.13740,-1.38931,3.74809,1.68321
1,0.28008,-0.11441,-1.05366,0.21936,-0.12354,-1.05420,-1.00436,4.11287,2.13850,-1.26336,3.74809,1.68321
1,0.25384,-0.10529,-1.04916,0.16956,-0.11377,-1.02917,-1.40022,4.36914,2.06216,-1.26336,4.30153,1.28626
1,0.24759,-0.09488,-1.02047,0.16956,-0.10388,-1.00830,-1.61887,3.66412,1.86205,-1.26336,3.74809,0.93893
1,0.27663,-0.11000,-1.02951,0.21936,-0.11377,-1.00854,-1.66412,3.52999,1.65267,-1.26336,3.09542,0.93893
1,0.30125,-0.12899,-1.00258,0.33533,-0.12354,-1.00806,-1.88059,3.03708,1.19738,-1.67176,2.70992,0.93893
1,0.31845,-0.12760,-1.01892,0.41028,-0.12354,-1.00806,-1.73828,3.23119,1.40185,-1.67176,2.70992,1.09924
1,0.29860,-0.11516,-1.00230,0.33569,-0.11377,-1.00720,-1.24318,3.21538,1.40185,-1.26336,2.70992,1.09924
1,0.27881,-0.11870,-1.00717,0.21094,-0.12354,-1.00806,-1.35878,3.47710,1.05398,-1.33206,3.09542,0.88550
1,0.24360,-0.11942,-1.02516,0.16101,-0.12354,-1.00854,-1.18266,3.40840,0.42148,-0.63740,2.91985,0.74427
1,0.22646,-0.11400,-1.02958,0.16101,-0.11243,-1.00854,-1.05289,3.60305,0.28299,-0.27099,3.26718,0.72901
1,0.22191,-0.11183,-1.02879,0.16101,-0.10205,-1.00854,-0.83261,3.72628,0.22519,-0.27099,3.55725,0.72901
1,0.24637,-0.11305,-1.02260,0.17395,-0.10205,-1.00806,-0.65649,3.76609,0.22192,-0.09542,3.55725,0.72901
1,0.27070,-0.11768,-1.02049,0.19202,-0.10205,-1.00806,-0.53817,4.19411,0.41767,-0.09542,4.35115,0.74046
1,0.29339,-0.12559,-1.01109,0.28796,-0.10205,-1.00806,-0.46838,4.64286,0.41603,-0.05725,4.92366,0.74046
1,0.29921,-0.12690,-1.01172,0.31067,-0.10693,-1.00854,-0.33315,4.56161,0.35224,0.39695,4.59542,0.72901
1,0.29428,-0.12638,-1.00558,0.31067,-0.10645,-1.00195,-0.11832,4.40894,0.34842,0.84733,4.00000,0.70611
