Target,AccMeanX,AccMeanY,AccMeanZ,AccMedianX,AccMedianY,AccMedianZ,GyroMeanX,GyroMeanY,GyroMeanZ,GyroMedianX,GyroMedianY,GyroMedianZ
1,0.42045,-0.12667,-0.92395,0.42712,-0.12085,-0.90735,-0.65594,4.38659,0.81298,-0.77481,3.97710,0.65267
1,0.38710,-0.12558,-0.93080,0.39539,-0.09814,-0.90735,-0.97655,4.39531,0.87841,-1.25191,4.20611,0.76718
1,0.44285,-0.13593,-0.94076,0.45386,-0.13257,-0.90796,-0.82443,4.25082,0.64776,-0.70611,3.97710,0.66031
1,0.16680,-0.04806,-0.97264,0.16394,-0.07324,-0.96008,-1.42148,4.39695,2.66630,-0.70992,4.97710,1.80916
1,0.36210,-0.16982,-0.95750,0.36548,-0.15112,-0.96802,-0.12268,3.70447,0.05889,-0.53817,3.69084,0.44656
1,0.23160,-0.08006,-0.95912,0.25891,-0.09985,-0.91565,-0.95038,3.38004,1.32225,-0.53053,2.58397,1.17176
1,0.27874,-0.09082,-0.95984,0.33618,-0.11414,-0.92529,-0.09651,4.08888,1.02617,-0.53053,3.97710,0.96565
1,0.38030,-0.17969,-0.95593,0.41785,-0.18542,-0.97327,-0.46947,5.29826,0.17557,-0.30916,4.84351,0.62214
1,0.34066,-0.13346,-1.00042,0.37561,-0.10938,-1.00500,-1.33152,6.01636,1.75136,-0.65649,5.32061,0.91603
1,0.26578,-0.12535,-1.01833,0.23254,-0.11377,-1.00708,-0.91221,3.92203,2.05725,-0.73282,4.32443,1.33969
1,0.41143,-0.15463,-0.92229,0.46106,-0.13672,-0.98486,-2.46074,2.68048,0.59433,-2.19084,2.25573,0.62977
1,0.35646,-0.14739,-1.01392,0.39856,-0.15576,-1.00916,-1.50382,5.66903,0.98964,-1.53053,5.32824,0.72137
1,0.35012,-0.17201,-0.95361,0.34705,-0.15112,-0.96008,-0.00600,3.84297,0.05125,-0.18321,3.84733,0.39313
1,0.34112,-0.11883,-0.96066,0.35437,-0.07642,-0.97168,-1.14340,4.60251,0.88931,-0.77481,5.16031,0.71374
1,0.29256,-0.15685,-0.95711,0.30640,-0.14038,-0.96948,-0.12331,4.25602,-0.03641,-0.83969,3.96947,0.58779
1,0.35032,-0.12512,-1.02523,0.41846,-0.12744,-1.00232,-1.02345,4.28408,2.27972,-1.48855,4.30153,1.68321
1,0.33838,-0.14528,-1.03469,0.35364,-0.13733,-1.01135,-0.84842,3.52563,0.23937,-0.56870,4.33969,0.67939
1,0.36588,-0.15463,-0.96891,0.44373,-0.13672,-1.00281,-1.47219,3.06707,0.03599,-1.14504,2.45802,0.91603
1,0.32607,-0.15170,-0.95258,0.29822,-0.17310,-0.97327,-0.48964,5.25682,0.16303,-0.31679,4.84351,0.88931
1,0.05980,-0.02345,-0.96746,0.05518,-0.04919,-0.96008,-0.75027,2.94820,1.77481,0.61069,1.91985,1.38168
1,0.06168,-0.00966,-0.98758,0.05518,-0.02246,-0.98315,-1.05780,3.29553,1.64504,-0.31298,2.86260,1.38168
1,0.34455,-0.12784,-1.02666,0.41846,-0.14648,-1.00232,-0.92803,4.38277,2.28571,-1.27481,4.30153,1.68321
1,0.21427,-0.06907,-0.96695,0.20874,-0.08777,-0.92529,-1.26499,3.53326,1.49945,-0.69084,2.58397,1.20611
1,0.33339,-0.13252,-0.98872,0.35986,-0.11646,-1.00488,-1.31298,4.26609,1.34515,0.23664,4.78626,1.06107
1,0.25384,-0.10529,-1.04916,0.16956,-0.11377,-1.02917,-1.40022,4.36914,2.06216,-1.26336,4.30153,1.28626
1,0.25492,-0.12924,-1.00396,0.25525,-0.12952,-0.99158,0.19793,4.49836,-0.66031,-0.46565,4.58779,0.36641
1,0.27473,-0.09612,-1.02025,0.23193,-0.10962,-1.01282,-0.43293,4.76063,2.08506,-0.82443,4.64122,0.89695
1,0.34286,-0.14176,-0.94615,0.33057,-0.14978,-0.97632,-0.41549,5.51200,0.56652,-0.59160,4.64122,0.81298
1,0.24937,-0.13269,-1.01976,0.19629,-0.11938,-1.00525,0.03653,4.83806,-0.19302,0.39695,4.95038,0.61832
1,0.29921,-0.12690,-1.01172,0.31067,-0.10693,-1.00854,-0.33315,4.56161,0.35224,0.39695,4.59542,0.72901
1,0.33939,-0.14143,-0.97839,0.38635,-0.12476,-1.00281,-0.98855,3.86696,-0.05725,-0.78244,3.09160,0.91603
1,0.34042,-0.14673,-0.94411,0.33057,-0.17310,-0.96741,-0.35987,5.57197,0.65485,-0.48855,4.64122,0.83969
1,0.34321,-0.12378,-1.02673,0.41846,-0.11804,-1.01282,-0.77099,4.36260,2.21865,-1.27481,4.54580,1.37786
1,0.20239,-0.06154,-0.97888,0.18835,-0.06189,-0.98560,0.21265,4.26718,0.71374,-0.72137,4.25954,0.82443
1,0.25668,-0.11333,-1.01287,0.20691,-0.10010,-0.99927,-1.64776,3.77099,1.97274,-1.05725,4.17557,1.01145
1,0.37019,-0.15761,-0.97185,0.35181,-0.17200,-0.98389,-0.43402,4.29280,0.86423,-0.59924,4.22901,0.81298
1,0.29140,-0.15653,-0.95797,0.29968,-0.12598,-0.96973,-0.12277,4.27036,-0.11260,-0.87405,3.84733,0.24046
1,0.30040,-0.14880,-1.01779,0.27795,-0.13159,-1.00037,0.45474,4.91712,-0.01036,-0.00382,4.95038,0.71756
1,0.32016,-0.13803,-1.00977,0.33325,-0.13550,-1.00488,-0.89586,4.79553,1.42421,0.23664,5.25191,1.11069
1,0.20621,-0.07819,-0.95843,0.20007,-0.09985,-0.92529,-1.72955,4.05834,1.67230,-0.70992,3.67176,1.47710
1,0.26883,-0.10944,-1.02440,0.22937,-0.09375,-1.02490,-1.78408,4.01908,1.91003,-1.27099,3.83969,0.88168
1,0.32936,-0.13658,-1.03718,0.38538,-0.13440,-1.01794,-1.58561,6.17612,1.36478,-1.53053,6.50000,0.80153
1,0.31426,-0.15229,-1.01235,0.32349,-0.13818,-1.00281,-0.04744,4.52181,-0.96510,-0.64885,3.97328,-0.74809
1,0.30240,-0.12343,-0.99175,0.24036,-0.10022,-0.99695,-0.82061,3.91549,1.21810,-0.45802,4.12595,1.03053
1,0.38972,-0.16725,-1.01512,0.40637,-0.17090,-0.99536,-1.26499,4.54635,0.24591,-0.62977,4.44656,0.64504
1,0.27799,-0.12373,-1.00234,0.19116,-0.11499,-1.00183,-1.14885,5.27317,1.78790,-0.78244,5.32061,1.32061
1,0.32832,-0.12122,-0.97869,0.30029,-0.10999,-0.99707,-0.25682,5.04526,1.03817,-0.40076,4.69466,0.72137
1,0.29339,-0.12559,-1.01109,0.28796,-0.10205,-1.00806,-0.46838,4.64286,0.41603,-0.05725,4.92366,0.74046
1,0.32091,-0.13780,-1.00567,0.32349,-0.12476,-1.02478,-0.61069,3.46619,-0.26990,-0.78244,3.09160,0.42366
1,0.33766,-0.14943,-0.98410,0.38086,-0.12744,-1.01099,-0.28190,5.72901,0.22301,-0.48855,4.97710,0.75954
1,0.23026,-0.12462,-1.02998,0.19128,-0.10645,-1.00891,0.18103,5.23282,-0.22410,0.39695,4.95038,0.61832
1,0.30296,-0.15034,-1.00267,0.30981,-0.13818,-1.00281,-0.28844,4.14995,-0.62923,-0.64885,3.75191,-0.28244
1,0.40186,-0.12906,-0.92215,0.39539,-0.10742,-0.90735,-0.55889,4.68539,0.77263,-0.77481,4.66412,0.46565
1,0.28059,-0.11747,-1.02117,0.22705,-0.10010,-0.99927,-1.44220,4.27808,1.85278,-0.73282,4.17557,0.88550
1,0.30509,-0.11258,-0.97421,0.24451,-0.10864,-0.99707,-0.65049,5.16957,0.96892,-0.40076,4.69466,0.72137
1,0.32631,-0.14394,-0.98183,0.31934,-0.16919,-0.99243,-1.18212,3.88386,1.54853,-1.05725,4.17557,1.12595
1,0.29766,-0.12476,-1.01426,0.26367,-0.10010,-0.99927,-1.29662,3.96020,1.61996,-0.67176,3.97710,0.86641
1,0.33786,-0.16418,-0.94168,0.36536,-0.14099,-0.94348,0.17653,4.43416,-0.16794,-0.28626,4.03817,-0.17939
1,0.40683,-0.15072,-0.92140,0.46106,-0.13672,-0.97864,-2.37132,2.83969,0.65267,-1.92748,2.45802,0.91603
1,0.24510,-0.10946,-1.02830,0.20374,-0.09375,-1.02686,-2.01690,3.80044,1.97983,-1.27099,3.83969,1.03053
1,0.32143,-0.14891,-0.97461,0.32666,-0.11060,-0.97900,-0.38822,3.95802,0.65976,-0.67939,4.09542,0.79389
1,0.44242,-0.13055,-0.92208,0.45386,-0.13257,-0.90796,-0.43348,4.52835,0.89313,-0.69084,4.46565,0.96565
1,0.38492,-0.16617,-0.95086,0.41785,-0.18469,-0.97327,-0.62432,5.63522,0.48582,-0.48092,5.13740,0.88931
1,0.24360,-0.11942,-1.02516,0.16101,-0.12354,-1.00854,-1.18266,3.40840,0.42148,-0.63740,2.91985,0.74427
1,0.09333,-0.02096,-0.94170,0.07092,-0.04773,-0.93604,-0.96619,3.92312,2.70393,-0.16031,4.41985,2.05344
1,0.33275,-0.14083,-0.99737,0.38538,-0.12024,-1.00366,-0.87405,5.11341,0.29716,-0.58015,4.54198,0.72137
1,0.35815,-0.14432,-1.00010,0.41626,-0.14490,-1.00500,-1.29171,5.94711,1.82443,-0.65649,5.32061,1.26336
1,0.17793,-0.03798,-0.97602,0.18445,-0.06189,-0.98560,-0.75954,3.59542,0.04362,-0.81298,4.17176,0.81679
1,0.36014,-0.15104,-1.00870,0.38940,-0.16797,-1.00818,-0.71265,3.53980,0.11505,-0.56870,4.33969,0.65649
1,0.29778,-0.10238,-1.01208,0.24451,-0.10962,-0.99707,-0.03162,5.33642,1.94602,-0.25954,4.64122,0.84351
1,0.27070,-0.11768,-1.02049,0.19202,-0.10205,-1.00806,-0.53817,4.19411,0.41767,-0.09542,4.35115,0.74046
1,0.30045,-0.09152,-0.93255,0.36353,-0.11902,-0.91565,-0.27808,4.46565,1.08942,-0.69084,4.46565,1.03817
1,0.33105,-0.17456,-0.94908,0.34692,-0.14160,-0.95020,0.16285,4.50636,-0.39610,0.05344,4.10687,-0.25191
1,0.13379,-0.03059,-0.95417,0.10925,-0.06641,-0.93604,-1.07579,4.48255,2.86423,-0.69084,4.97710,2.05344
1,0.27794,-0.07675,-0.94277,0.21362,-0.10315,-0.99451,-0.30807,6.15158,1.29935,-0.21756,5.89313,0.87405
1,0.31147,-0.09985,-1.02178,0.32849,-0.10620,-1.01282,-0.27972,4.47437,2.35932,-1.01527,4.54580,1.37786
1,0.34117,-0.15824,-0.95612,0.34705,-0.12659,-0.97070,-0.30316,4.11287,0.28190,-0.72519,3.90458,0.71756
1,0.42191,-0.13647,-0.93345,0.43738,-0.12427,-0.93091,-0.24209,4.66412,0.75191,-0.77481,4.66412,0.46565
1,0.27604,-0.09609,-0.96047,0.20312,-0.10034,-0.98816,-0.48909,4.85333,1.58015,-0.38550,4.85115,1.66412
1,0.36729,-0.14920,-0.92308,0.45776,-0.13770,-1.00903,-1.57306,2.18539,0.78462,-2.19084,2.12595,1.11832
